policy_expert,t,action_expert,action_type_expert,k_expert,valid_expert,reward_expert,total_reward_expert,time_min_expert,minute_of_day_expert,m1_busy_expert,m2_busy_expert,stock_raw_expert,stock_p1_expert,stock_p2_inter_expert,stock_p2_expert,backlog_p1_expert,backlog_p2_expert,raw_incoming_expert,time_to_next_sell_expert,reward_last_step_expert,reward_week_expert,policy_ppo,action_ppo,action_type_ppo,k_ppo,valid_ppo,reward_ppo,total_reward_ppo,time_min_ppo,minute_of_day_ppo,m1_busy_ppo,m2_busy_ppo,stock_raw_ppo,stock_p1_ppo,stock_p2_inter_ppo,stock_p2_ppo,backlog_p1_ppo,backlog_p2_ppo,raw_incoming_ppo,time_to_next_sell_ppo,reward_last_step_ppo,reward_week_ppo,same_action
expert,0,200,WAIT,0,1,-0.2,-0.2,0,0,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,ppo,53,PROD_P2_STEP1,4,1,20.0,20.0,0,0,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False
expert,10,200,WAIT,0,1,-0.2,-2.1999999999999997,10,10,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-0.2,-2.0,ppo,100,PROD_P2_STEP2,1,1,15.0,33.2,10,10,1,0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,5,-0.2,18.2,False
expert,25,200,WAIT,0,1,-0.2,-5.200000000000002,25,25,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-0.2,-5.0,ppo,100,PROD_P2_STEP2,1,1,15.0,45.39999999999999,25,25,1,0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,5,-0.2,30.4,False
expert,30,150,ORDER_RAW,1,1,-1.0,-7.020000000000002,30,30,0,0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0,-0.22,-6.02,ppo,200,WAIT,0,1,-0.2,44.39999999999998,30,30,1,1,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0,-0.2,44.6,False
expert,31,50,PROD_P2_STEP1,1,1,5.0,-2.0200000000000022,31,31,0,0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,14,-1.0,-7.02,ppo,200,WAIT,0,1,-0.2,44.199999999999974,31,31,1,1,6.0,0.0,1.0,1.0,0.0,0.0,0.0,14,-0.2,44.4,False
expert,32,150,ORDER_RAW,1,1,-1.0,-3.0200000000000022,32,32,1,0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,13,5.0,-2.02,ppo,200,WAIT,0,1,-0.2,43.99999999999997,32,32,1,1,6.0,0.0,1.0,1.0,0.0,0.0,0.0,13,-0.2,44.2,False
expert,40,200,WAIT,0,1,-0.2,-4.620000000000004,40,40,1,0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,5,-0.2,-4.42,ppo,100,PROD_P2_STEP2,1,1,15.0,57.59999999999995,40,40,0,0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,5,-0.2,42.6,False
expert,41,100,PROD_P2_STEP2,1,1,15.0,10.379999999999995,41,41,0,0,9.0,0.0,1.0,0.0,0.0,1.0,2.0,4,-0.2,-4.62,ppo,1,PROD_P1,2,1,1.0,58.59999999999995,41,41,0,1,6.0,0.0,1.0,2.0,0.0,0.0,0.0,4,15.0,57.6,False
expert,42,50,PROD_P2_STEP1,1,1,5.0,15.379999999999995,42,42,0,1,9.0,0.0,0.0,0.0,0.0,1.0,2.0,3,15.0,10.38,ppo,200,WAIT,0,1,-0.2,58.39999999999995,42,42,1,1,4.0,0.0,1.0,2.0,0.0,0.0,0.0,3,1.0,58.6,False
expert,43,150,ORDER_RAW,1,1,-1.0,14.379999999999995,43,43,1,1,8.0,0.0,0.0,0.0,0.0,1.0,2.0,2,5.0,15.38,ppo,200,WAIT,0,1,-0.2,58.199999999999946,43,43,1,1,4.0,0.0,1.0,2.0,0.0,0.0,0.0,2,-0.2,58.4,False
expert,47,200,WAIT,0,1,-0.2,13.559999999999997,47,47,1,1,8.0,0.0,0.0,0.0,0.0,1.0,3.0,13,-0.2,13.76,ppo,1,PROD_P1,2,1,1.0,58.59999999999994,47,47,0,1,4.0,2.0,1.0,2.0,0.0,0.0,0.0,13,-0.2,57.6,False
expert,52,50,PROD_P2_STEP1,1,1,5.0,17.759999999999998,52,52,0,1,8.0,0.0,1.0,0.0,0.0,1.0,3.0,8,-0.2,12.76,ppo,200,WAIT,0,1,-0.2,57.59999999999992,52,52,1,1,2.0,3.0,1.0,2.0,0.0,0.0,0.0,8,-0.2,57.8,False
expert,53,150,ORDER_RAW,1,1,-1.0,16.759999999999998,53,53,1,1,7.0,0.0,1.0,0.0,0.0,1.0,3.0,7,5.0,17.76,ppo,1,PROD_P1,2,1,1.0,58.59999999999992,53,53,0,1,2.0,4.0,1.0,2.0,0.0,0.0,0.0,7,-0.2,57.6,False
expert,55,200,WAIT,0,1,-0.2,16.36,55,55,1,1,7.0,0.0,1.0,0.0,0.0,1.0,4.0,5,-0.2,16.56,ppo,100,PROD_P2_STEP2,1,1,15.0,73.39999999999992,55,55,1,0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,5,-0.2,58.4,False
expert,56,100,PROD_P2_STEP2,1,1,15.0,31.36,56,56,1,0,7.0,0.0,1.0,1.0,0.0,1.0,4.0,4,-0.2,16.36,ppo,200,WAIT,0,1,-0.2,73.19999999999992,56,56,1,1,0.0,5.0,0.0,3.0,0.0,0.0,0.0,4,15.0,73.4,False
expert,70,200,WAIT,0,1,-0.2,48.559999999999974,70,70,0,1,7.0,0.0,1.0,0.0,0.0,0.0,4.0,5,-0.2,48.76,ppo,164,ORDER_RAW,15,1,-15.0,77.59999999999988,70,70,0,0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,5,-0.2,92.6,False
expert,71,100,PROD_P2_STEP2,1,1,15.0,63.559999999999974,71,71,0,0,7.0,0.0,1.0,1.0,0.0,0.0,4.0,4,-0.2,48.56,ppo,200,WAIT,0,1,-0.2,77.39999999999988,71,71,0,0,0.0,5.0,0.0,3.0,0.0,0.0,15.0,4,-15.0,77.6,False
expert,76,200,WAIT,0,1,-0.2,62.55999999999996,76,76,0,1,7.0,0.0,0.0,1.0,0.0,0.0,4.0,14,-0.2,62.76,ppo,164,ORDER_RAW,15,1,-15.0,61.599999999999866,76,76,0,0,0.0,5.0,0.0,3.0,0.0,0.0,15.0,14,-0.2,76.6,False
expert,191,200,WAIT,0,1,-0.2,79.55999999999963,191,191,0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-0.2,79.76,ppo,53,PROD_P2_STEP1,4,1,20.0,78.79999999999954,191,191,0,0,15.0,5.0,0.0,2.0,0.0,0.0,15.0,4,-0.2,58.8,False
