policy_expert,t,action_expert,action_type_expert,k_expert,valid_expert,reward_expert,total_reward_expert,time_min_expert,minute_of_day_expert,m1_busy_expert,m2_busy_expert,stock_raw_expert,stock_p1_expert,stock_p2_inter_expert,stock_p2_expert,backlog_p1_expert,backlog_p2_expert,raw_incoming_expert,time_to_next_sell_expert,reward_last_step_expert,reward_week_expert,policy_ppo,action_ppo,action_type_ppo,k_ppo,valid_ppo,reward_ppo,total_reward_ppo,time_min_ppo,minute_of_day_ppo,m1_busy_ppo,m2_busy_ppo,stock_raw_ppo,stock_p1_ppo,stock_p2_inter_ppo,stock_p2_ppo,backlog_p1_ppo,backlog_p2_ppo,raw_incoming_ppo,time_to_next_sell_ppo,reward_last_step_ppo,reward_week_ppo,same_action
expert,0,200,WAIT,0,1,-0.2,-0.2,0,0,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,ppo,53,PROD_P2_STEP1,4,1,20.0,20.0,0,0,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False
expert,1,200,WAIT,0,1,-0.2,-0.4,1,1,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14,-0.2,-0.2,ppo,200,WAIT,0,1,-0.2,19.8,1,1,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14,20.0,20.0,True
expert,2,200,WAIT,0,1,-0.2,-0.6000000000000001,2,2,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13,-0.2,-0.4,ppo,200,WAIT,0,1,-0.2,19.6,2,2,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,13,-0.2,19.8,True
expert,3,200,WAIT,0,1,-0.2,-0.8,3,3,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12,-0.2,-0.6,ppo,200,WAIT,0,1,-0.2,19.400000000000002,3,3,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12,-0.2,19.6,True
expert,4,200,WAIT,0,1,-0.2,-1.0,4,4,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11,-0.2,-0.8,ppo,200,WAIT,0,1,-0.2,19.200000000000003,4,4,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11,-0.2,19.4,True
expert,5,200,WAIT,0,1,-0.2,-1.2,5,5,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10,-0.2,-1.0,ppo,200,WAIT,0,1,-0.2,19.000000000000004,5,5,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10,-0.2,19.2,True
expert,6,200,WAIT,0,1,-0.2,-1.4,6,6,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9,-0.2,-1.2,ppo,200,WAIT,0,1,-0.2,18.800000000000004,6,6,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9,-0.2,19.0,True
expert,7,200,WAIT,0,1,-0.2,-1.5999999999999999,7,7,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8,-0.2,-1.4,ppo,200,WAIT,0,1,-0.2,18.600000000000005,7,7,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8,-0.2,18.8,True
expert,8,200,WAIT,0,1,-0.2,-1.7999999999999998,8,8,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7,-0.2,-1.6,ppo,200,WAIT,0,1,-0.2,18.400000000000006,8,8,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7,-0.2,18.6,True
expert,9,200,WAIT,0,1,-0.2,-1.9999999999999998,9,9,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6,-0.2,-1.8,ppo,200,WAIT,0,1,-0.2,18.200000000000006,9,9,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6,-0.2,18.4,True
expert,10,200,WAIT,0,1,-0.2,-2.1999999999999997,10,10,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-0.2,-2.0,ppo,100,PROD_P2_STEP2,1,1,15.0,33.2,10,10,1,0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,5,-0.2,18.2,False
expert,11,200,WAIT,0,1,-0.2,-2.4,11,11,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-0.2,-2.2,ppo,200,WAIT,0,1,-0.2,33.0,11,11,1,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4,15.0,33.2,True
expert,12,200,WAIT,0,1,-0.2,-2.6,12,12,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-0.2,-2.4,ppo,200,WAIT,0,1,-0.2,32.8,12,12,1,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-0.2,33.0,True
expert,13,200,WAIT,0,1,-0.2,-2.8000000000000003,13,13,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-0.2,-2.6,ppo,200,WAIT,0,1,-0.2,32.599999999999994,13,13,1,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-0.2,32.8,True
expert,14,200,WAIT,0,1,-0.2,-3.0000000000000004,14,14,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.2,-2.8,ppo,200,WAIT,0,1,-0.2,32.39999999999999,14,14,1,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.2,32.6,True
expert,15,200,WAIT,0,1,-0.2,-3.2000000000000006,15,15,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.2,-3.0,ppo,200,WAIT,0,1,-0.2,32.19999999999999,15,15,1,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.2,32.4,True
expert,16,200,WAIT,0,1,-0.2,-3.400000000000001,16,16,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14,-0.2,-3.2,ppo,200,WAIT,0,1,-0.2,31.99999999999999,16,16,1,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14,-0.2,32.2,True
expert,17,200,WAIT,0,1,-0.2,-3.600000000000001,17,17,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13,-0.2,-3.4,ppo,200,WAIT,0,1,-0.2,31.79999999999999,17,17,1,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,13,-0.2,32.0,True
expert,18,200,WAIT,0,1,-0.2,-3.800000000000001,18,18,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12,-0.2,-3.6,ppo,200,WAIT,0,1,-0.2,31.59999999999999,18,18,1,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12,-0.2,31.8,True
expert,19,200,WAIT,0,1,-0.2,-4.000000000000001,19,19,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11,-0.2,-3.8,ppo,200,WAIT,0,1,-0.2,31.39999999999999,19,19,1,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11,-0.2,31.6,True
expert,20,200,WAIT,0,1,-0.2,-4.200000000000001,20,20,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10,-0.2,-4.0,ppo,200,WAIT,0,1,-0.2,31.199999999999992,20,20,1,1,6.0,0.0,1.0,0.0,0.0,0.0,0.0,10,-0.2,31.4,True
expert,21,200,WAIT,0,1,-0.2,-4.400000000000001,21,21,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9,-0.2,-4.2,ppo,200,WAIT,0,1,-0.2,30.999999999999993,21,21,1,1,6.0,0.0,1.0,0.0,0.0,0.0,0.0,9,-0.2,31.2,True
